Wavelength 1,Absolute Irradiance 1,Wavelength 2,Absolute Irradiance 2,Wavelength 3,Absolute Irradiance 3
305.427,0,305.427,0,305.427,0
305.684,0,305.684,0,305.684,0
305.941,0,305.941,0,305.941,0
306.198,0,306.198,0,306.198,0
306.455,0,306.455,0,306.455,0
306.712,0,306.712,0,306.712,0
306.969,0,306.969,0,306.969,0
307.226,0,307.226,0,307.226,0
307.483,0,307.483,0,307.483,0
307.739,0,307.739,0,307.739,0
307.996,0,307.996,0,307.996,0
308.253,0,308.253,0,308.253,0
308.51,0,308.51,0,308.51,0
308.767,0,308.767,0,308.767,0
309.023,0,309.023,0,309.023,0
309.28,0,309.28,0,309.28,0
309.537,0,309.537,0,309.537,0
309.794,0,309.794,0,309.794,0
310.05,0,310.05,0,310.05,0
310.307,0,310.307,0,310.307,0
310.564,0,310.564,0,310.564,0
310.82,0,310.82,0,310.82,0
311.077,0,311.077,0,311.077,0
311.333,0,311.333,0,311.333,0
311.59,0,311.59,0,311.59,0
311.847,0,311.847,0,311.847,0
312.103,0,312.103,0,312.103,0
312.36,0,312.36,0,312.36,0
312.616,0,312.616,0,312.616,0
312.873,0,312.873,0,312.873,0
313.129,0,313.129,0,313.129,0
313.385,0,313.385,0,313.385,0
313.642,0,313.642,0,313.642,0
313.898,0,313.898,0,313.898,0
314.155,0,314.155,0,314.155,0
314.411,0,314.411,0,314.411,0
314.667,0,314.667,0,314.667,0
314.924,0,314.924,0,314.924,0
315.18,0,315.18,0,315.18,0
315.436,0,315.436,0,315.436,0
315.693,0,315.693,0,315.693,0
315.949,0,315.949,0,315.949,0
316.205,0,316.205,0,316.205,0
316.461,0,316.461,0,316.461,0
316.718,0,316.718,0,316.718,0
316.974,0,316.974,0,316.974,0
317.23,0,317.23,0,317.23,0
317.486,0,317.486,0,317.486,0
317.742,0,317.742,0,317.742,0
317.998,0,317.998,0,317.998,0
318.254,0,318.254,0,318.254,0
318.51,0,318.51,0,318.51,0
318.766,0,318.766,0,318.766,0
319.022,0,319.022,0,319.022,0
319.279,0,319.279,0,319.279,0
319.534,0,319.534,0,319.534,0
319.79,0,319.79,0,319.79,0
320.046,0,320.046,0,320.046,0
320.302,0,320.302,0,320.302,0
320.558,0,320.558,0,320.558,0
320.814,0,320.814,0,320.814,0
321.07,0,321.07,0,321.07,0
321.326,0,321.326,0,321.326,0
321.582,0,321.582,0,321.582,0
321.838,0,321.838,0,321.838,0
322.093,0,322.093,0,322.093,0
322.349,0,322.349,0,322.349,0
322.605,0,322.605,0,322.605,0
322.861,0,322.861,0,322.861,0
323.116,0,323.116,0,323.116,0
323.372,0,323.372,0,323.372,0
323.628,0,323.628,0,323.628,0
323.884,0,323.884,0,323.884,0
324.139,0,324.139,0,324.139,0
324.395,0,324.395,0,324.395,0
324.65,0,324.65,0,324.65,0
324.906,0,324.906,0,324.906,0
325.162,0,325.162,0,325.162,0
325.417,0,325.417,0,325.417,0
325.673,0,325.673,0,325.673,0
325.928,0,325.928,0,325.928,0
326.184,0,326.184,0,326.184,0
326.439,0,326.439,0,326.439,0
326.695,0,326.695,0,326.695,0
326.95,0,326.95,0,326.95,0
327.206,0,327.206,0,327.206,0
327.461,0,327.461,0,327.461,0
327.716,0,327.716,0,327.716,0
327.972,0,327.972,0,327.972,0
328.227,0,328.227,0,328.227,0
328.482,0,328.482,0,328.482,0
328.738,0,328.738,0,328.738,0
328.993,0,328.993,0,328.993,0
329.248,0,329.248,0,329.248,0
329.504,0,329.504,0,329.504,0
