Wavelength 1,Absolute Irradiance 1
417.447,0.36
417.696,0.39
417.945,0.4
418.193,0.45
418.442,0.48
418.691,0.49
418.939,0.5
419.188,0.54
419.437,0.59
419.685,0.59
419.934,0.65
420.182,0.67
420.431,0.71
420.679,0.73
420.928,0.77
421.176,0.82
421.424,0.86
421.673,0.88
421.921,0.93
422.17,0.98
422.418,1.06
422.666,1.08
422.915,1.11
423.163,1.23
423.411,1.29
423.66,1.33
423.908,1.38
424.156,1.45
424.404,1.56
424.652,1.58
424.901,1.71
425.149,1.76
425.397,1.83
425.645,1.98
425.893,2.07
426.141,2.11
426.389,2.27
426.637,2.27
426.885,2.53
427.133,2.5
427.381,2.75
427.629,2.84
427.877,2.95
428.125,3.13
428.373,3.26
428.621,3.5
428.869,3.52
429.117,3.61
429.364,3.83
429.612,4.13
429.86,4.24
430.108,4.49
430.356,4.64
430.603,4.83
430.851,5.23
431.099,5.27
431.346,5.33
431.594,5.77
431.842,6.1
432.089,6.41
432.337,6.47
432.585,6.74
432.832,6.96
433.08,7.09
433.327,7.03
433.575,7.31
433.822,7.75
434.07,7.97
434.317,8.12
434.565,8.4
434.812,8.94
435.059,9.57
435.307,9.98
435.554,10.26
435.801,10.44
436.049,11.43
436.296,11.59
436.543,12.33
436.791,12.86
437.038,13.08
437.285,13.45
437.532,13.95
437.78,14.88
438.027,15.91
438.274,16.03
438.521,16.41
438.768,17.71
439.015,18.32
439.262,19.39
439.509,19.47
439.756,20.85
440.003,21.25
440.25,21.44
440.497,23.03
440.744,24.26
440.991,24.95
441.238,24.72
441.485,26.57
441.732,26.23
441.979,27.97
442.226,28.17
442.473,29.23
442.72,30.63
442.966,31.05
443.213,32.51
443.46,33.65
443.707,33.84
443.953,35.98
444.2,36.83
444.447,38.46
444.693,38.02
444.94,39.88
445.187,41.42
445.433,41.43
445.68,43.72
445.926,44.84
446.173,46.7
446.42,47.31
446.666,49.46
446.913,50.39
447.159,52.79
447.406,51.6
447.652,52.9
447.898,56
448.145,55.65
448.391,58.23
448.638,60.32
448.884,61.11
449.13,62.5
449.377,65.23
449.623,65.41
449.869,66.65
450.115,68.59
450.362,71.68
450.608,72.54
450.854,74.05
451.1,75.48
451.346,76.75
451.593,78.94
451.839,80.04
452.085,81.06
452.331,81.98
452.577,83.57
452.823,84.81
453.069,85.27
453.315,84.27
453.561,88.55
453.807,86.03
454.053,88.84
454.299,86.93
454.545,89.2
454.791,86.71
455.037,88.78
455.283,88.92
455.528,90.56
455.774,91.28
456.02,89.23
456.266,88.55
456.512,88.24
456.757,90.54
457.003,90.28
457.249,88.84
457.495,88.7
457.74,86.86
457.986,84.51
458.231,84.26
458.477,83.46
458.723,82.74
458.968,81.35
459.214,80.08
459.459,78.34
459.705,77.74
459.95,76.52
460.196,75.71
460.441,74.25
460.687,73.24
460.932,70.85
461.178,68.47
461.423,68.88
461.669,65.64
461.914,62.87
462.159,63.02
462.405,59.85
462.65,58.9
462.895,59.64
463.14,56.53
463.386,54.58
463.631,54.04
463.876,52.14
464.121,51.91
464.366,50.72
464.612,49.49
464.857,48.19
465.102,47.24
465.347,44.84
465.592,43.71
465.837,43.72
466.082,42.26
466.327,41.08
466.572,40.14
466.817,40.6
467.062,39.08
467.307,37.76
467.552,37.05
467.797,35.85
468.042,35.81
468.287,35.27
468.532,33.58
468.776,33.64
469.021,33.04
469.266,32.02
469.511,31.61
469.756,31.66
470,30.11
470.245,29.94
470.49,29.36
470.734,28.24
470.979,28.19
471.224,27.75
471.468,27.05
471.713,26.22
471.958,26.3
472.202,25.68
472.447,24.77
472.691,24.47
472.936,23.78
473.18,23.61
473.425,23.03
473.669,21.9
473.914,21.83
474.158,20.8
474.402,20.74
474.647,20.61
474.891,20.09
475.136,19.09
475.38,18.81
475.624,18.32
475.868,17.91
476.113,17.5
476.357,16.87
476.601,16.64
476.845,15.92
477.09,15.44
477.334,15.03
477.578,14.68
477.822,14.34
478.066,13.96
478.31,13.61
478.554,13.07
478.799,12.79
479.043,12.38
479.287,11.99
479.531,11.62
479.775,11.3
480.019,11.07
480.263,10.66
480.507,10.41
480.75,10.07
480.994,9.85
481.238,9.54
481.482,9.37
481.726,8.88
481.97,8.73
482.214,8.47
482.457,8.12
482.701,7.92
482.945,7.72
483.189,7.51
483.432,7.4
483.676,7.04
483.92,6.77
484.163,6.54
484.407,6.36
484.651,6.13
484.894,5.94
485.138,5.83
485.381,5.7
485.625,5.51
485.868,5.31
486.112,5.2
486.355,4.98
486.599,4.88
486.842,4.7
487.086,4.63
487.329,4.43
487.573,4.34
487.816,4.2
488.059,4.15
488.303,3.92
488.546,3.89
488.789,3.78
489.033,3.69
489.276,3.61
489.519,3.5
489.762,3.46
490.005,3.35
490.249,3.29
490.492,3.19
490.735,3.08
490.978,3.03
491.221,2.95
491.464,2.84
491.707,2.82
491.95,2.76
492.194,2.69
492.437,2.61
492.68,2.55
492.923,2.49
493.165,2.39
493.408,2.36
493.651,2.26
493.894,2.24
494.137,2.16
494.38,2.12
494.623,2.06
494.866,1.99
495.109,1.94
495.351,1.85
495.594,1.82
495.837,1.76
496.08,1.72
496.322,1.68
496.565,1.62
496.808,1.59
497.05,1.56
497.293,1.51
497.536,1.48
497.778,1.42
498.021,1.39
498.263,1.37
498.506,1.33
498.749,1.3
498.991,1.3
499.234,1.26
499.476,1.22
499.718,1.21
499.961,1.2
500.203,1.17
500.446,1.16
500.688,1.13
500.93,1.1
501.173,1.08
501.415,1.07
501.657,1.04
501.9,1.02
502.142,1
502.384,0.98
502.627,0.96
502.869,0.94
503.111,0.91
503.353,0.91
503.595,0.88
503.837,0.86
504.08,0.84
504.322,0.82
504.564,0.81
504.806,0.79
505.048,0.77
505.29,0.76
505.532,0.74
505.774,0.71
506.016,0.7
506.258,0.69
506.5,0.68
506.742,0.67
506.984,0.65
507.225,0.65
507.467,0.64
507.709,0.62
507.951,0.61
508.193,0.6
508.435,0.58
508.676,0.56
508.918,0.55
509.16,0.54
509.401,0.53
509.643,0.52
509.885,0.5
510.126,0.5
510.368,0.49
510.61,0.48
510.851,0.47
511.093,0.46
511.334,0.46
511.576,0.45
511.818,0.43
512.059,0.43
512.301,0.42
512.542,0.4
512.783,0.39
513.025,0.39
513.266,0.38
513.508,0.36
513.749,0.35
513.99,0.34
514.232,0.34
514.473,0.32
514.714,0.31
514.956,0.31
515.197,0.29
515.438,0.29
515.679,0.28
515.921,0.28
516.162,0.27
516.403,0.26
516.644,0.26
516.885,0.26
517.126,0.24
517.367,0.24
517.608,0.24
517.85,0.23
518.091,0.23
518.332,0.22
518.573,0.23
518.814,0.23
519.055,0.23
519.295,0.21
519.536,0.21
519.777,0.21
520.018,0.21
520.259,0.21
520.5,0.2
520.741,0.2
520.982,0.2
521.222,0.19
521.463,0.18
521.704,0.18
521.945,0.17
522.185,0.17
522.426,0.16
522.667,0.15
522.907,0.16
523.148,0.16
523.389,0.15
523.629,0.14
523.87,0.14
524.11,0.14
524.351,0.14
524.591,0.14
524.832,0.13
525.072,0.13
525.313,0.13
525.553,0.12
525.794,0.12
526.034,0.12
526.275,0.11
526.515,0.11
526.755,0.11
526.996,0.11
527.236,0.1
527.476,0.1
527.717,0.09
527.957,0.09
528.197,0.09
